dataset,type,function,run,time,size
A,xml,write,60,10,316
A,xml,read,60,15,316
A,xml.gz,write,60,19,57
A,xml.gz,read,60,16,57
A,bin,write,61,5,122
A,bin,read,61,9,122
A,xml,write,61,8,316
A,xml,read,61,11,316
A,xml.gz,write,61,25,57
A,xml.gz,read,61,18,57
A,bin,write,62,5,122
A,bin,read,62,10,122
A,xml,write,62,10,316
A,xml,read,62,14,316
A,xml.gz,write,62,18,57
A,xml.gz,read,62,18,57
A,bin,write,63,5,122
A,bin,read,63,10,122
A,xml,write,63,10,316
A,xml,read,63,14,316
A,xml.gz,write,63,18,57
A,xml.gz,read,63,19,57
A,bin,write,64,8,122
A,bin,read,64,18,122
A,xml,write,64,10,316
A,xml,read,64,14,316
A,xml.gz,write,64,17,57
A,xml.gz,read,64,19,57
A,bin,write,65,5,122
A,bin,read,65,10,122
A,xml,write,65,10,316
A,xml,read,65,12,316
A,xml.gz,write,65,16,57
A,xml.gz,read,65,15,57
A,bin,write,66,4,122
A,bin,read,66,8,122
A,xml,write,66,8,316
A,xml,read,66,11,316
A,xml.gz,write,66,16,57
A,xml.gz,read,66,15,57
A,bin,write,67,7,122
A,bin,read,67,9,122
A,xml,write,67,8,316
A,xml,read,67,12,316
A,xml.gz,write,67,15,57
A,xml.gz,read,67,16,57
A,bin,write,68,4,122
A,bin,read,68,8,122
A,xml,write,68,8,316
A,xml,read,68,12,316
A,xml.gz,write,68,15,57
A,xml.gz,read,68,15,57
A,bin,write,69,5,122
A,bin,read,69,8,122
A,xml,write,69,7,316
A,xml,read,69,13,316
A,xml.gz,write,69,16,57
A,xml.gz,read,69,15,57
A,bin,write,70,4,122
A,bin,read,70,8,122
A,xml,write,70,9,316
A,xml,read,70,13,316
A,xml.gz,write,70,18,57
A,xml.gz,read,70,17,57
A,bin,write,71,4,122
A,bin,read,71,9,122
A,xml,write,71,8,316
A,xml,read,71,11,316
A,xml.gz,write,71,15,57
A,xml.gz,read,71,15,57
A,bin,write,72,5,122
A,bin,read,72,8,122
A,xml,write,72,8,316
A,xml,read,72,12,316
A,xml.gz,write,72,16,57
A,xml.gz,read,72,16,57
A,bin,write,73,4,122
A,bin,read,73,8,122
A,xml,write,73,8,316
A,xml,read,73,21,316
A,xml.gz,write,73,16,57
A,xml.gz,read,73,15,57
A,bin,write,74,4,122
A,bin,read,74,8,122
A,xml,write,74,9,316
A,xml,read,74,12,316
A,xml.gz,write,74,16,57
A,xml.gz,read,74,16,57
A,bin,write,75,5,122
A,bin,read,75,8,122
A,xml,write,75,8,316
A,xml,read,75,11,316
A,xml.gz,write,75,16,57
A,xml.gz,read,75,16,57
A,bin,write,76,4,122
A,bin,read,76,8,122
A,xml,write,76,8,316
A,xml,read,76,11,316
A,xml.gz,write,76,16,57
A,xml.gz,read,76,15,57
A,bin,write,77,5,122
A,bin,read,77,8,122
A,xml,write,77,8,316
A,xml,read,77,11,316
